สถิติจำนวนประชากร,,,
พื้นที่ ทั่วประเทศ,,,
ข้อมูลเดือน มกราคม 2564,,,
พื้นที่,ชาย,หญิง,รวม
ยอดรวมทั้งหมด,"32,371,065","33,811,650","66,182,715"
กรุงเทพมหานคร,"2,624,776","2,961,275","5,586,051"
จังหวัดสมุทรปราการ,"644,687","707,433","1,352,120"
จังหวัดนนทบุรี,"594,735","682,997","1,277,732"
จังหวัดปทุมธานี,"558,205","619,293","1,177,498"
จังหวัดพระนครศรีอยุธยา,"393,485","425,591","819,076"
จังหวัดอ่างทอง,"132,282","144,061","276,343"
จังหวัดลพบุรี,"371,138","371,673","742,811"
จังหวัดสิงห์บุรี,"97,840","107,961","205,801"
จังหวัดชัยนาท,"154,932","167,358","322,290"
จังหวัดสระบุรี,"316,491","327,401","643,892"
จังหวัดชลบุรี,"764,157","803,309","1,567,466"
จังหวัดระยอง,"364,504","377,688","742,192"
จังหวัดจันทบุรี,"261,906","273,553","535,459"
จังหวัดตราด,"113,143","115,468","228,611"
จังหวัดฉะเชิงเทรา,"353,571","367,362","720,933"
จังหวัดปราจีนบุรี,"244,294","249,781","494,075"
จังหวัดนครนายก,"128,600","131,486","260,086"
จังหวัดสระแก้ว,"280,041","280,848","560,889"
จังหวัดนครราชสีมา,"1,294,466","1,338,513","2,632,979"
จังหวัดบุรีรัมย์,"784,839","795,842","1,580,681"
จังหวัดสุรินทร์,"685,631","692,321","1,377,952"
จังหวัดศรีสะเกษ,"726,127","732,197","1,458,324"
จังหวัดอุบลราชธานี,"932,239","934,298","1,866,537"
จังหวัดยโสธร,"266,873","267,408","534,281"
จังหวัดชัยภูมิ,"555,624","568,778","1,124,402"
จังหวัดอำนาจเจริญ,"187,275","188,879","376,154"
จังหวัดบึงกาฬ,"211,570","210,395","421,965"
จังหวัดหนองบัวลำภู,"253,897","255,178","509,075"
จังหวัดขอนแก่น,"881,982","911,901","1,793,883"
จังหวัดอุดรธานี,"777,211","790,852","1,568,063"
จังหวัดเลย,"320,135","318,501","638,636"
จังหวัดหนองคาย,"256,703","260,598","517,301"
จังหวัดมหาสารคาม,"467,224","485,946","953,170"
จังหวัดร้อยเอ็ด,"643,864","654,292","1,298,156"
จังหวัดกาฬสินธุ์,"483,298","493,634","976,932"
จังหวัดสกลนคร,"570,015","576,637","1,146,652"
จังหวัดนครพนม,"357,518","359,603","717,121"
จังหวัดมุกดาหาร,"175,277","175,551","350,828"
จังหวัดเชียงใหม่,"863,255","922,071","1,785,326"
จังหวัดลำพูน,"193,321","208,608","401,929"
จังหวัดลำปาง,"355,014","373,494","728,508"
จังหวัดอุตรดิตถ์,"218,786","229,621","448,407"
จังหวัดแพร่,"210,828","226,246","437,074"
จังหวัดน่าน,"238,661","237,960","476,621"
จังหวัดพะเยา,"227,511","239,606","467,117"
จังหวัดเชียงราย,"629,897","665,216","1,295,113"
จังหวัดแม่ฮ่องสอน,"144,380","140,360","284,740"
จังหวัดนครสวรรค์,"507,072","532,567","1,039,639"
จังหวัดอุทัยธานี,"159,226","166,518","325,744"
จังหวัดกำแพงเพชร,"352,644","361,342","713,986"
จังหวัดตาก,"339,326","331,695","671,021"
จังหวัดสุโขทัย,"284,760","302,820","587,580"
จังหวัดพิษณุโลก,"416,094","433,188","849,282"
จังหวัดพิจิตร,"259,511","272,502","532,013"
จังหวัดเพชรบูรณ์,"484,655","496,953","981,608"
จังหวัดราชบุรี,"423,022","446,422","869,444"
จังหวัดกาญจนบุรี,"448,025","444,081","892,106"
จังหวัดสุพรรณบุรี,"404,487","433,802","838,289"
จังหวัดนครปฐม,"441,950","478,919","920,869"
จังหวัดสมุทรสาคร,"282,519","303,385","585,904"
จังหวัดสมุทรสงคราม,"91,761","100,199","191,960"
จังหวัดเพชรบุรี,"232,861","249,311","482,172"
จังหวัดประจวบคีรีขันธ์,"272,971","277,989","550,960"
จังหวัดนครศรีธรรมราช,"765,411","785,429","1,550,840"
จังหวัดกระบี่,"237,279","240,611","477,890"
จังหวัดพังงา,"133,808","134,517","268,325"
จังหวัดภูเก็ต,"195,559","218,470","414,029"
จังหวัดสุราษฎร์ธานี,"525,717","541,997","1,067,714"
จังหวัดระนอง,"98,175","96,248","194,423"
จังหวัดชุมพร,"251,294","257,906","509,200"
จังหวัดสงขลา,"696,345","732,230","1,428,575"
จังหวัดสตูล,"161,309","162,792","324,101"
จังหวัดตรัง,"313,224","327,194","640,418"
จังหวัดพัทลุง,"254,917","268,190","523,107"
จังหวัดปัตตานี,"358,793","367,556","726,349"
จังหวัดยะลา,"267,961","270,796","538,757"
จังหวัดนราธิวาส,"398,181","406,977","805,158"
